Sl no,Tweets,Search key,Feeling
6203," #66: @iotconf ed ""Do not despair at the challenge of #programming #software for #IoT devices with low #computingpower and low #memory requirements! Better get to know the best solutions and #bestpractices in our track to solve this problem easily: https://t.co/9o4rGKwtR7#iot #AI #BigData https://t.co/qKKYhpIxUA""",despair,sad
7841," #10: @Lee Vallins ed ""It may be rainy and dreary, but looking forwards to a cheerful afternoon @HayesbrookSch this afternoon talking to students about healthcare in the UK and the part that the amazing @TreeofHopeCC play in helping hundreds of Children and Young People access the things they need!""",cheerful,happy
5692," #30: @Yvonne Steplavage ed ""RT @foto_ihlow: Manchmal kann man die Ruhe am Großen Meer genießen. Foto: R. Köllmann #photos #fotografia #fotografie #ostfrieslandfotos #h…""",kind,happy
5962," #15: @Bruno ed ""RT @Eglantine_EMEYE: Je voudrais féliciter la perversité de la personne qui a trouvé malin et sans doute très drôle de fracasser ma voiture…""",indignation,angry
6757," #5: @frankie 19 | ALEX DAY ed ""if you can, remind yourself daily how far you’ve already come, try to be proud of the journey as it’s worthy of pride""",pride,happy
5243," #20: @♔ Diana ♡ ed ""RT @JoelOsteen: It’s easy to get discouraged. Everyone has disappointments, but if you’ll stay in faith, not get bitter, God is going to bl…""",faith,happy
6758," #6: @Nathan Lee ed ""RT @BookOProverbs: Pride only breeds quarrels, but wisdom is found in those who take advice. -Proverbs 13:10""",pride,happy
4734," #22: @Real McCoy ed ""MI hope this ages well lol""",hope,happy
3277," #8: @Squirrel🐿️ ed ""RT @john_f_hamer: “What Orwell failed to predict is that we'd buy the cameras ourselves, and that our biggest fear would be that nobody was…""",fear,fear
6502," #46: @Andrés ed ""RT @LFC: Fight. Passion. Determination. Spirit. ✊What a comeback. What a team. What a club. #YNWA https://t.co/GRpBmbLWuy""",determination,happy
8703,"Tweet #68: @Natalie @Awesomecon tweeted ""@sugarbieeee @oh__honey__ Also those terms have a super racist history against Black folks (that the regretful “creator” didn’t know at the time) so I’ll never use them.""",regretful,sad
7838," #7: @もちもち☆Prim🍑✨＠こんにちは令和 ed ""@mochimochioichi @SpBrifney うんちっちーうんちっちーうんちっちーうんちっちー🎶みーずうーみのほーとりでー(うんちっちーうんちっちー)よーんでーいるーよー　(うんちっちーうんちっちー)""",cheerful,happy
1625," #37: @Esha Khan ed ""Two people who are depressed can help each other. It's because people are often better at giving advice than they are receiving it.""",depress,sad
1628," #40: @Bex ed ""RT @jazmin_sus: nobody ever believes how sad a depressed person says she/he really is til they commit suicide n then all you motha fuckers…""",depress,sad
2837," #58: @Syeda Zehra K Mohsin ed ""RT @sanambna: Bolton issues random threat to Iran saying we're coming into your neighborhood to poke & prod & provoke you, but hey if you a…""",provoke,angry
7675," #31: @Kwaku-T ed ""RT @chunkymark: 3-0 down!!!!  Liverpool stun Barcelona stun the World by beating Messi and the Spanish champions FOUR NIL!!!! 😱 Believe!!!…""",stun,surprise
93," #21: @maddie 🍂 ed ""Serena Williams looks AMAZING she is so powerful https://t.co/UvyaDPgxdE""",amazing,happy
7525," #30: @DJ PlaZma ed ""Now Playing on PlaZma Radio: Jacksons & Mick Jagger - State Of Shock https://t.co/EwS5eezHIu""",shock,surprise
3577," #8: @ｊｅｉｌｏｒ ed ""RT @kehmmmm: i was supposed to scare my friends but ended up scaring a random person RIP wkdkkddjdjj https://t.co/fdp9yhaRWO""",scare,fear
7117," #17: @Carole Bailey ed ""I keep watching this - so very very very happy! https://t.co/vrJAPFLNi3""",very happy,happy
2521," #4: @반동결도쥐 ed ""바지 길이가 우리아빠사각팬티보다 더 짧은것 같음 https://t.co/tTEm1JSk4W""",angry,angry
4775," #63: @Gbenga Ajiboye ed ""@ovieali Hope is fully owned by Nigerians. Love this!""",hope,happy
1385," #58: @Lily. ed ""@Your_Jongup Me ish sad""",sad,sad
6715," #46: @Uledy ed ""RT @IslamicTongue: Sisters, hijab is not a fashion statement, it is an act of worship first and foremost. Keep your modesty intact. May All…""",modesty,happy
6099," #57: @Luis Roca ed ""WHEN SOMEONE HELPS YOU AND THEY STRUGGLING TOO, THAT'S NOT HELP THAT'S LOVE""",love,happy
1158," #58: @Taya🖤 ed ""RT @nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa""",lucky,happy
8828,"Tweet #41: @Rocks&Sand🇮🇳 tweeted ""Very sad, Sufis have always been the teachers if moderate Islam & peace. This is another warning to Pakistanis that they should rise against this radicalisation before Pakistan becomes another Syria or Palestine. https://t.co/6WZnqHJ77b""",very sad,sad
2912," #38: @StoryPick ed ""He was so furious he tried to eat the snake!😮https://t.co/53expkjysG""",furious,angry
312," #4: @Em Geezy ed ""RT @WeirdLifeHacks: Fright & delight with these not so tricky treats! 🕷By Blossom https://t.co/RzY7U2wJsA""",delight,happy
3999," #8: @Bora -윤보라- ed ""If music be the food of love, play on,Give me excess of it; that surfeiting,The appetite may sicken, and so die.""",sicken,disgust
1748," #20: @나 ed ""RT @English_bot_kr: lugubrious 슬퍼하는; 가련한; 애처로운 a exaggeratedly mournful""",mournful,sad
4079," #13: @Philthefish ed ""@BBCWorld @BBCNews When will people like extinction revulsion admit that population is the cause and it needs  reducing fast""",revulsion,disgust
4706," #64: @⇨ Rимия 🍂 ed ""RT @sailorkooky: nothing but big respect to these wonderful men who brave enough to said fuck toxic masculinity #MetGala https://t.co/Dp0VQ…""",brave,happy
9108,"Tweet #42: @SMO tweeted ""RT @AnfieldHQ: Suarez: “We are very sad, hurt, we are human beings, we feel the pain, the frustration, we have to do self-criticism, put ou…""",very hurt,sad
6500," #44: @Josh... 🙁 ed ""RT @LFC: Fight. Passion. Determination. Spirit. ✊What a comeback. What a team. What a club. #YNWA https://t.co/GRpBmbLWuy""",determination,happy
7095," #52: @Sherrill Reed ed ""RT @Monaheart1229: Just now on @Lawrence , @tribelaw said, ""There is a point where caution becomes cowardice, and cowardice becomes betraya…""",assertive,happy
3790," #56: @Don Schaumburg ed ""RT @PauletteParis1: Golf tomorrow dread. Recently, a man in my foursome called Obama a f*cking n***er. It didn't go well. He tried ""sorry y…""",dread,fear
1474," #77: @Yeseul Kim ed ""RT @ZealousKoki: The Ultimate Power of the Blood of Jesus Christ our Lord and Savior brought Joy to us ,no more pain and sorrow,  never cry…""",sorrow,sad
305," #77: @HeyMissHayley ed ""RT @_Inspirational2: How To Make Your Own Luck:- Work hard- Be positive- Show gratitude- Volunteer more- Be kind & humble- Value feed…""",gratitude,happy
3851," #24: @Mokᴇ ed ""Random anxiety attacks are messing with my head... Tight chest pains are grim.""",anxiety,fear
322," #14: @PU, Imam Muda, Dai’e Danial ed ""RT @Arch_Revival_: When we build, let us think that we build forever.Let it not be for present delight nor for present use alone. Let it…""",delight,happy
9449,"Tweet #5: @bethaME! 🦋 tweeted ""checking timehop today is going to be PAINFUL""",painful,sad
7825," #94: @眞琥 ed ""しごおわだよ""",daze,surprise
6773," #21: @Classic Hits Radio ed ""Your favorite songs music rock pop dance latino Pride (In The Name Of Love) by U2 on https://t.co/DOtFGCsG25 https://t.co/FrwTvkidV5""",pride,happy
1797," #69: @Bongo Fury ed ""@BryanDawsonUSA @JerryFalwellJr Love the soundtrack, its like some Russian folk song or a dirge I heard.Definition dirge1: a song or hymn of grief or lamentation especially one intended to accompany funeral or memorial rites.2: a slow, solemn, & mournful piece of music@MerriamWebster https://t.co/UbZR6QoEbd""",mournful,sad
89," #17: @Maria Nymand ed ""My baby looking AMAZING WoWw https://t.co/Txit9dLNim""",amazing,happy
9736,"Tweet #58: @Brigid Costello tweeted ""RT @TanyaMCC4: I'm prolife with no exceptions.The unborn child classed as unwanted, The unborn child conceived through the tragedy of rap…""",tragedy,sad
4432," #7: @Aisyahdyt ed ""RT @sadlxst: if she replies to your sarcasm with sarcasm that’s a whole ass wife""",sarcasm,disgust
8254," #20: @(((Mirelle))) ed ""RT @kishkushkay: On Israel #RemembranceDay, I remember my USA friend Kristine Luken - hacked to death in front of me, because her Palestini…""",bless,happy
8838,"Tweet #51: @Muhammad Ahsan tweeted ""RT @nasir9002: Very sad indeed. China bans Muslims from fasting Ramadan in Xinjiang. Xinjiang has more Muslims https://t.co/HD6c5IeVTY""",very sad,sad
3764," #30: @Bobby Dread ❌ ed ""RT @zerohedge: Buffet and Munger are unhappy that central banks have flooded the market with liquidity but have no problem with the Swiss N…""",dread,fear
4539," #43: @_G  dl  k ed ""RT @USEmbassyAbuja: Nigerian Star - Abdullahi Abubakar84 year-old Imam Abdullahi Abubakar, a peace-builder who together with his deputy sa…""",peace,happy
6243," #17: @mamtaprakashkapadia ed ""RT @SadhguruJV: Devotion is about you. Maybe you use another as inspiration, but you change your quality into a profound sense of sweetness…""",devotion,happy
5428," #45: @Gerhardkopilot ed ""RT @jutta_ditfurth: Where the racist and nationalistic #brexit leads to: an inhuman, unhappy, splitted and chronically tensed society. http…""",tensed,fear
9555,"Tweet #28: @NDUKWE MICHAEL tweeted ""RT @YemiDavids: Ladies and Gentlemen this loss is paining me ooooo!Why @FCBarcelona  , why???Congratulations @LFC Love your display of gr…""",paining,sad
6564," #15: @The Leader ♡ The Dancer 🐉🐰💛👑 ed ""RT @Flo_0601: Jiyong is such a smol shy princess near hyung. 😌#GTOPSizeDifference(cr: alicekytg) https://t.co/1uRFy9VMFC""",shy,happy
3511," #15: @Tito 🤷🏻‍♂️ ed ""RT @hatttiegladwell: Hands up if you’ve ever had any of the following due to mental illness:- an anxiety/panic attack that’s felt like a…""",panic,fear
3545," #49: @ali rochmadi ed ""@CNNIndonesia Panic mode on, apa ini menuju diktator ??? 🤔""",panic,fear
7572," #77: @Steve Smart ed ""@CommaJane Hope she’s doing ok and you are recovering from the shock.""",shock,surprise
3319," #50: @Mojo Jojo ed ""RT @TheOpethian: Fear makes people do weird shit.""",fear,fear
5294," #71: @「影の音楽」 ed ""If Drogon won't get some armor in the next episode I'm losing faith in this show. #gameofthrones""",faith,happy
8844,"Tweet #57: @Engr Adeife tweeted ""RT @ogundamisi: Unexpected and very sad news. I wish @PeterObi a quick recovery. BREAKING: Peter Obi Suffers Heart Attack, Admitted In An…""",very sad,sad
3132," #37: @Betty Woellner ed ""@olgaNYC1211 He is frightening people but he's trying to raise a storm of outraged Trump supporters behind him.  Not going to happen. He has his lowest numbers of supporters & I doubt they are prepared to take over the country. Don't encourage his crap please.""",outraged,angry
7327," #56: @Spencer Garrett ed ""RT @EricMcCormack: You never cease to amaze, Mr Rainbow... https://t.co/3mu2w2kQjj""",amaze,happy
9568,"Tweet #41: @Ingrid🍫 tweeted ""+1like my heart is paining 😭 https://t.co/8JScMiddIv""",paining,sad
1490," #12: @クロリグコピペbot ed ""虎尾さんが考案した心霊現象に効く呪文「だが野良猫がよく入り込む」【使用例】クレーヴェル｢勝手に閉まる扉、地下室なので風が吹くことはない｣虎尾「だが野良猫がよく入り込む」橡森｢この家には誰もいないはずである｣虎尾「だが野良猫がよく入り込む！！」""",regret,sad
8333," #63: @Hilltop Primary Academy ed ""The rain won’t stop us having fun today! #year1 #enjoyment #flamingos #giraffes https://t.co/C8H9wRLCuQ""",enjoyment,happy
5807," #1: @𝓬𝓪𝓷𝓭𝓲𝓼 ed ""RT @cydniecole: I truly feel bad for the people who underestimate me like girl it must SUCK to be loud, wrong AND jealous. whewwww.""",jealous,angry
109," #37: @steve sumner ed ""RT @Nataliew1020: This story will air this Friday. It's one of the most emotional interviews I've ever given. I'm glad they'll be sharing a…""",amazing,happy
4157," #91: @Howard Schultzy ed ""RT @HeerJeet: 1. It increasingly feels like Biden, if he's the Democratic nominee, will be Hilary Clinton 2.0, but worse. A campaign based…""",revulsion,disgust
2822," #43: @hippie at heart ed ""RT @LoHoFran: @WestWingReport We still can’t completely get the 🤬out of Afghanistan and Iraq but let’s provoke another conflict. The ones t…""",provoke,angry
6163," #26: @@Son of stanly. ed ""RT @GadOlubai: @Agollajack @The_Thruth02 @LinusKaikai @ArthurPstr You can't mock God because He can make you one so that you feel the despa…""",despair,sad
4881," #57: @Charles Tiu ed ""@bobby_cabral I have said that many times to my friends , even out here many many years ago about the system. Well darn shame on La Salle for hiring a hypocrite then. I wouldve thought you’d rather focus your time on your work and family, your beautiful acropolis home rather than name calling""",shame,disgust
3341," #72: @jenn ed ""RT @mmpadellan: I honestly don't care that trump misspells easy words (stollen, Kentuky, chocked, etc.), despite claiming to have a very go…""",fear,fear
2928," #54: @All That, All That, You Can Give Me All That ed ""RT @marvel_shots: Top 101) Avatar : $2,788B2) #AvengersEndgame : $2,188B3) Titanic : $2,187B4) Star Wars VII : $2,068B5) #Avengers Inf…""",furious,angry
8335," #65: @Les Ears Ryan ed ""@Wizard101 I began playing this game for enjoyment but I only get frustration out of it now! I do not need anymore frustration in my life!""",enjoyment,happy
3093," #3: @Blake⚔🛡⚡⦻ ed ""@theandyknight @ughlightning I'm so glad this is a joke cause like damn I'd just kill myself at that point you could literally offened anyone and everyone if that was a thing.""",offened,angry
2556," #39: @Jimmy DG ed ""Cersie! niyan kit! Pag uli mo! 😡😡😡😡-Balbagan an dara. — feeling angry""",angry,angry
389," #2: @Eli will wait for Minseok 🌻 ed ""Happy birthday baby girl!! @Minjongin_ I miss you and I love you! Cheer up 😭❤ https://t.co/CLu0Xh9mRn""",cheer,happy
1785," #57: @michael sarian ed ""RT @jazzdotorg: Charles Mingus' masterpiece Mingus Ah Um turns sixty today!The album, which Mingus began recording on this day in 1959, r…""",mournful,sad
6428," #33: @CMT ed ""@ExSecular @JhaGunjesh ""JaiSri Ram"" like Vande Matram is going to redefine our spiritual legacy n national cultural tradition. Incidentally. Vande Matram originated from Bengal as symbol of fierce resistance to British. Now Jai Sri Ram has become the mantra to liberate WB from evil forces.""",spiritual,happy
5961," #14: @Joseph Galibois ed ""@AnnCoulter Not your best work, Ann.You've infused rightful indignation over the notion of #ObstructionOfInjustice into an improper response to a shiny, poll-based political distraction.Perhaps you're not getting enough sleep; I blame the Islanders. #GoBruins""",indignation,angry
2650," #59: @𝓜 ed ""RT @7mwxdd: I miss how you use to annoy me with your calls.""",annoy,angry
9710,"Tweet #32: @Kellin Quinn♡ tweeted ""History repeats itself, first as tragedy, second as farce.""",tragedy,sad
3162," #67: @Melissa🌟🇺🇸🇮🇱 ed ""RT @DefinitionofR: This bill should have been introduced two decades ago. This is the United States of America. #BanShariaLaw US Lawmaker…""",outraged,angry
1317," #55: @Dr.N.K.Gupta ed ""RT @drnkgupta: Thanks. We deceive our children first as not good parents then teachers then social parents https://t.co/oJRDlOMZyS""",good,happy
5451," #68: @taeyongstoes misses NCT ed ""@baldjeno BUT LIKE LEMME TELL U HOW TENSED JOHNNY LOOKED EVERYTIME THE INTERVIEWER OPENED HIS MOUTH""",tensed,fear
8742,"Tweet #36: @세그 tweeted ""RT @deckybi: 현장 소음 왜 커져야만 했을까요? 경찰 바리케이트 왜 쳐져야만 했을까요? https://t.co/rUEQLVV8ji""",depressed,sad
5423," #40: @Brenda Kamryn ed ""RT @Ganaishp: ""#Be_simple, but look stylish. #Be_tough, but look soft.#Be_tensed, but look cool.#Be_a_winner, but look like a beginner.…""",tensed,fear
4011," #20: @Nick Wilton ed ""Take a look at this @guyverhofstadt and @JunckerEU - and see where you’re”European Values” are taking us! Riot police abusing a cripple! You sicken me! https://t.co/rpmijYpLvs""",sicken,disgust
5200," #58: @Shailu Gaikwad ed ""RT @swwapniljoshi: A bold and a much needed move ma'am! Wil help all forms of cinema! U r truly showing the way! 🙏🙏@anupamachopra https://…""",calm,happy
361," #53: @Clement Wang ed ""Free short story vending machines delight commuters https://t.co/X31m1pscOY""",delight,happy
3707," #66: @TN🇺🇸gardengirl ed ""The Fright of James Comey https://t.co/yNFoyDwYaJ""",fright,fear
4016," #25: @Stefanie Simpson ed ""@mischa_eliot Unable to act because of the response her behaviour elicits in me. I've been harassed etc and can block most ppl without a second thought, this person's tactics sicken me.""",sicken,disgust
5852," #46: @SyvfiqMunchkin ed ""RT @miajrdi: jealous of your voice please!!!!! 🥵 i can literally sleep while listening to this https://t.co/cu9ibSXOzp""",jealous,angry
1879," #4: @Gabriella Russo ن ed ""RT @sarahbessey: Our dear friend - and Rachel's friend - @KatecBowler has graciously made her own team of experts available to us all. If y…""",grief,sad
9921,"Tweet #61: @Miles Rajander tweeted ""@FOXFOOTY 🤡 @paddles74 @jgerrans name a more annoying figure on tv/media/radio, shows turned into a bunch of blokes making rubbish takes, dal santo said j.cameron best player in the Comp 🙅‍♂️ 🤦‍♂️""",annoying,angry
6839," #20: @eligejtor 🐊 saw endgame ed ""Zobaczyłam a Johnny'ego z ""Guesswho's home"" i tak mnie serce zakuło trochę""",ego,fear
4371," #35: @Knox Co Health Dept ed ""May is Women's Heart and Stroke Month.  Women can have unique heart attack symptoms. The most common symptom is chest pain, but women can often experience less common symptoms, including shortness of breath, fatigue and nausea. Learn more here: https://t.co/njCX4RbN0h https://t.co/VC9SKjAagc""",nausea,disgust
9604,"Tweet #5: @Sir Creaky tweeted ""RT @GraveyardBec: So when I got home I decided to read up on the history of the place and there's a ghost story 👀It is said that the inn…""",weeping,sad
374," #66: @ぬまち@スナックお兄やん ed ""@delight_vocal 待ってます！！！！！！！！！！ッッッッッッW""",delight,happy
5194," #52: @allie♡ ed ""ha ha bold of u to think i’m not currently crying bc of jk""",calm,happy
8865,"Tweet #78: @Silke K tweeted ""@camerlengo73_2 @lisa_wawrinka Whaaaaaattt???? I don't believe it 😭 I was completely sure that he would be there as well. That is a huge mistake bc he'll miss the greatest experience ever and a big disappointment for all European fans. Very sad 😢😢""",very sad,sad
9853,"Tweet #92: @Ik Seun tweeted ""@Imoemi_ True, he should have been very angry last night, they only needed 1 goal""",very angry,angry
1484," #6: @Erika ed ""RT @lonestfeeIs: If you ever meet someone who tries their hardest to stick by you regardless of how difficult you are, keep them close or e…""",regret,sad
9826,"Tweet #65: @Indra Joy-Joy tweeted ""@EmmaKennedy It is blatantly obvious now too. It makes me very angry.""",very angry,angry
4299," #43: @mathguy ed ""@JoyAnnReid @Will_Bunch But that last line: if Trump is really at 46 percent, he will win reelection. Yes, 54 > 46, but at least some of that 54 might not approve of Trump but have an even bigger distaste for the D nominee.""",distaste,disgust
417," #30: @🦋CHEL$EAA🦋 ed ""RT @Kaimonae2: Cheer seasonnn 😂😂🥰🥰 https://t.co/D3vhvEPiUK""",cheer,happy
8279," #8: @Wolves FPA ed ""RT @georgeelokobi: Molineux are you ready! @Wolves are you ready! I’m excited to be playing with @playwithalegend on May 17th so come along…""",enjoyment,happy
1498," #20: @kas ed ""RT @lonestfeeIs: If you ever meet someone who tries their hardest to stick by you regardless of how difficult you are, keep them close or e…""",regret,sad
1481," #3: @2019 수능특강 단어봇 ed ""reluctant 주저하는, 꺼리는assess 가늠하다, 평가하다pictorial 사진의, 그림을 이용한regret 후회하다, 유감으로 생각하다, 후회compromise 타협하다, 위태롭게 하다, 타협""",regret,sad
7890," #59: @𝐽𝑒𝑛. ed ""@_hosseokk I miss your cheerful side.""",cheerful,happy
4544," #48: @NMC Healthcare Oman ed ""#رمضان كريم!نتمنى لكم أيامًا مباركة مليئة بالصحة والسعادة والسلام.May the auspicious month of Ramadan fill your days with good health, peace and happiness – Team NMC, Oman https://t.co/JMKJZDkNDg""",peace,happy
1782," #54: @Vick Barx ed ""RT @anahnemoo: Every post, , and article I've read by born-again Christians who are discussing the very likely state of RHE's soul hav…""",mournful,sad
2409," #14: @민 명 ed ""@gloomy_star_ 어 사랑해""",gloomy,sad
4987," #11: @NorthWales.com ed ""RT @BohoWeddings: New Boho Blog: Stef and Simon's Bright and Bold Tipi Wedding in Anglesey by About Today Photography https://t.co/8DnsGzRd…""",bold,happy
6382," #62: @ladla golu ed ""RT @insa_durga: Under the pious guidance of @Gurmeetramrahim ji insan volunteers of @derasachasauda donate blood regularly after the 3 mont…""",pious,happy
8873,"Tweet #6: @Trendingblizz tweeted ""Omoni Oboli, Dakore, Faze others mourn with Annie Idibia https://t.co/rL0QFeGamY https://t.co/dNtEeHEiRL""",mourn,sad
8590,"Tweet #40: @chris tweeted ""RT @AquariusTerms: #Aquarians try to keep cool when really angry, because they dont want to lose control by blowing up & then regretting do…""",regretting,sad
8034," #42: @Bridget Holmstrom ed ""RT @annaturley: ‘It is unforgivable to mislead the working people who our party was founded to represent. I will not tell my constituents t…""",prosperous,happy
8381," #43: @Jill Emerson ed ""RT @saraahalbert: These Are the So-Bad-They’re-Good Movies People Love#movie #love https://t.co/CQMnzNYSM4""",help,happy
1518," #40: @Katrina ed ""RT @MattWhiteside3: Easy to remember, to hard to forget.You bit and you tore at every ounce of grit. Ripped through my soul lashed out an…""",regret,sad
1599," #11: @Edgar Kruize ed ""@skoopnl Ik denk - het stuk lezend - dat het woord ‘depressed’ hier slecht gekozen is. Er is een immens verschil tussen een depressie en jezelf een beetje neerslachtig voelen.""",depress,sad
8638,"Tweet #3: @(´• ᴗ •̥`✿) 🖋 𝓔𝓶𝓲 tweeted ""With things getting out of hand as Jimin is eager to regain his memories, Jungkook is both thankful and regretful.""",regretful,sad
8884,"Tweet #17: @Sam tweeted ""If you are not going to overreact about the good things that are happening in my life may you not dramatically mourn me when I am dead because I will come back to remind you that you weren't close. https://t.co/pyCMRfZ2aX""",mourn,sad
6165," #28: @純:本田先生再録本予約受付してます ed ""なんでこんなに傷つきやすいんだろ…相手は私を傷つけるような事何も言ってないのに…""",despair,sad
1255," #85: @Ceazar Onyango ed ""@WHO @pahowho @WHO_Europe @WHOAFRO @WHOEMRO @WHOSEARO @WHOWPRO This strategy could really be helpful in Baringo, Kenya.""",helpful,happy
3448," #18: @John Weisman ed ""This is nuts. Just crazy. Terror fears as hate preacher Anjem Choudary returns to the street https://t.co/IeXOwUSEwU via @telegraphnews""",terror,fear
9210,"Tweet #72: @Mahmoona Shah tweeted ""RT @MARYAMALKHAWAJA: Extremely troubling news about how the #UN will be collecting sensitive data about people in the name of anti-terroris…""",troubling,sad
7001," #34: @AWUAH OBED ed ""RT @renoomokri: Don't be too busy making 20 friends in one year that you don't realise the loyalty of that one friend who has been loyal to…""",loyal,happy
656," #39: @Austin Baird ed ""@meljomur @nemo_impune So here we are arguing amongst ourselves while the British state rubs their hands in glee.""",glee,happy
8195," #40: @heat - blast ed ""RT @pinkdere: .    ᕱ⑅ᕱ（｡･ω･｡)つ━☆・*。⊂　　 ノ 　　　・゜+.しーＪ　　　°。+ *´¨)　　.· ´¸.·*´¨) ¸.·*¨)(¸.·´ (¸.·’* ⛧I bless you to have a good pink week ♡""",bless,happy
4847," #23: @paola ovalle ed ""Una de mis primeras publicaciones (2004)  #shameI just uploaded 'Muros códigos restringidos. El Graffiti en Mexicali' to @academia! https://t.co/R3ur5qLTeE""",shame,disgust
3774," #40: @Supavitjaiyuen ed ""RT @9GAG: Dread it, run from it, destiny arrives all the same. https://t.co/MgNsnxtBou""",dread,fear
8734,"Tweet #28: @Sugar. tweeted ""Ever miss yourself? The person you were before you became depressed? Before you start hating yourself? Before you wanted to die? I do.""",depressed,sad
3788," #54: @👑 King O 👑 ed ""RT @damaree15: Please  RT! https://t.co/SmpAvzCFSN""",dread,fear
6812," #60: @Richard T. Estrada ed ""RT @loud_eddie: . @PitmanFootball has a head coach. Lance Weckerle (PE Teacher) according to Dave Walls is an energetic young coach who has…""",pride,happy
440," #53: @岡村敦子 ed ""@mitchan_cheer ありがとうです。✧*｡٩(´ヮ`*)و✧*｡""",cheer,happy
2077," #30: @alexis ed ""im just so used to sleeping with david when i sleep alone and try to scoot closer or cuddle up to him and he’s not there i get really upset :(""",upset,sad
2905," #31: @@grammygems55 ed ""RT @CNN: .@brianstelter: Trump's furious reaction to Facebook's ban of some high-profile users shows us that he is, I'm sorry to say, the I…""",furious,angry
4875," #51: @Teresa Lott ed ""@NetflixFilm Admit it, you're a 30 year old 90s kid aren't you? No shame, and yes Devon Sawa was adorable.""",shame,disgust
1375," #48: @Katherine Runciman ed ""@MikeGreenTTLanc @tommytickover @shipman_stuart @Spig72 @guy_leddy @thewizardsappre @bellracing19 @mammylisa1 @philatcroft They always are honey and we are right at the very end of the day so I think, once again, it will be highlights programme and not on the live programme which is really sad 😔""",sad,sad
4576," #10: @Carlos GQM ed ""RT @paulkrugman: I'm old enough to remember when Presidential Medals of Freedom were given for showing courage and making sacrifices on beh…""",courage,happy
5731," #1: @霖音 ed ""RT @RoUResuhaido: #私が記憶喪失になっても一緒にいてくれる人RT見た人も強制的にやる、、、なんスか、、、ここ、オフィーリア？どこに、、、いるんスか、、、探さないと、、、(フラフラ)""",envy,angry
4337," #1: @DeniseClerot ed ""@Lusa93818309 Esse sujeito me dá náusea""",nausea,disgust
1956," #67: @インドトラブル解決屋 まっちゃん ed ""@Koh_in_india スタジオふつうにオシャレですね！！！！笑あと音もお綺麗ですね！😂""",trouble,sad
2455," #7: @rica nasty ed ""RT @Dogen: Japanese person: your face is smallme: Oh yea well you smell badJapanese person: it's a complimentme:Japanese person:me:Ja…""",bad,sad
3267," #93: @People-Bot ed ""Zammit is   really aggravated by Rachel because she is an elephant but that's not true""",aggravated,angry
569," #31: @emebetzegeye@yahoo.com ed ""RT @antonioguterres: Each year we gather to pay tribute to our colleagues who have lost their lives on @UN duty. With family members presen…""",prosperity,happy
9378,"Tweet #90: @Simon tweeted """"And NOW they're gonna eddit Lady & the Tramp because it's ""racist"", are they editing the Italian man? That's how Italians sound like, you can't change that! That's so stupid!""//Lady at work who's very upset without reading the article, which explains what changes & why.""",very upset,sad
9116,"Tweet #50: @Aisha Morales tweeted ""@aliskwet @WBAY Very sad. Glad no one was hurt.""",very hurt,sad
5379," #65: @Cleartrip ed ""@bhagodiya Sorry for the delay in our reply. As per your telecon with one of our executive yesterday, we trust your concern has been addressed.""",trust,happy
6109," #1: @Jwala ed ""RT @Hariom525: @rupeshsaigal @SheopurGoushala not give a place in your mind to entertain thoughts of fear, restlessness and dejection. Alwa…""",dejection,sad
7380," #31: @Barbara Peacock ed ""@WardellR @YvetteStanley18 Great challenge- really been enjoying see the posts of so many great books""",great,happy
4938," #41: @𝖘𝖔𝖓 𝖔𝖋 𝖇𝖆𝖇𝖚𝖘𝖍𝖐𝖆 𝖇𝖔𝖎 ed ""RT @astrologihoe: 📍Aries, Virgo, Scorpio, Capricorn ||| _ _ _ _ _ _ _ _ _ _ _ _ 📍 asking for…""",nervous,fear
6689," #20: @The LDS Tool ed ""@spartan1908 @LordwhiteD Everyone should take precautions to protect themselves. If something happens to you cause you put yourself in a bad situation, that is partially on you. Now in the sense of modesty I dont think it has the impact that you guys are trying to make it seem like I believe""",modesty,happy
5631," #39: @PoeRavenBot ed ""Some late visitor entreating entrance at my chamber door--- In there stepped a stately Raven of the saintly days of yore Followed fast and followed faster till his songs one burden bore--- Shall be lifted --- nevermore""",bore,sad
2449," #1: @DY. ed ""I’m sorry if I’m being a bad boyfriend for you. But i hope you’ll never get bored on me cause I’m always happy if I’m with you, and when i see your smile.Thank you for always stand beside me, thank you for accepting me in your precious life, I’ll try to make you happy, https://t.co/S6SnBdz7OS""",bad,sad
3196," #22: @Hero Future Energies ed ""Cyclone Fani adds to the long list of natural disasters aggravated by human activities. As the seas warm, the energy of passing storms will only increase. Fighting #ClimateChange is key to avoid an unnecessary loss to lives and livelihoods.@timesofindiahttps://t.co/P81syMrQTp""",aggravated,angry
1078," #73: @WAGNH ed ""RLC starting to truly fulfill his destiny as the Prince That Was Promised.#CFC https://t.co/bjQEfGtxtq""",pleased,happy
9834,"Tweet #73: @Dick Bong tweeted ""@MickM_68 @stkildafc Hahaha. The big fella was a very angry man that day!""",very angry,angry
5430," #47: @Mufpapa ed ""I’m highly tensed that I’m not tensed about my first #alevels exam which is in like few hrs.""",tensed,fear
